window_idx,time_sec,R_GM,R_ILIO,R_ST,R_RF,R_VL,R_BF,R_SOL,R_TA,L_GM,L_ILIO,L_ST,L_RF,L_VL,L_BF,L_SOL,L_TA
0,0.0000,0.0000,0.0000,0.6035,0.0000,0.0000,0.0713,0.4130,0.2286,0.8750,0.0000,0.9746,0.5077,0.6275,0.8969,1.0000,0.9957
1,0.1000,0.0740,0.0000,0.3835,0.2171,0.0000,0.0000,0.5877,0.5120,0.8355,0.7003,0.8393,0.9662,0.0000,0.0000,1.0000,0.9938
2,0.2000,0.1561,0.5029,0.0000,0.5171,0.0000,0.0000,0.3842,0.1630,0.3055,1.0000,0.0000,0.8229,0.3436,0.0000,0.8199,0.3824
3,0.3000,0.0000,0.5813,0.4308,0.0000,0.3691,0.5067,0.0000,0.0000,0.1299,0.8141,0.8240,0.2041,1.0000,0.9230,0.0000,0.1034
4,0.4000,0.0000,0.0000,0.4182,0.0000,0.3851,0.4483,0.2991,0.0833,0.7538,0.0000,1.0000,0.0000,0.9384,0.9149,0.5945,0.8647
5,0.5000,0.0000,0.0000,0.3163,0.0000,0.0000,0.0000,0.6277,0.3416,0.7933,0.0000,1.0000,0.6426,0.6582,0.8583,0.9066,0.9596
6,0.6000,0.0000,0.1778,0.0000,0.3549,0.0000,0.0000,0.4884,0.3216,0.8078,0.6122,0.8340,0.9019,0.0000,0.1168,1.0000,0.9407
7,0.7000,0.0000,0.4613,0.0000,0.1865,0.0936,0.0000,0.1304,0.0677,0.2637,1.0000,0.0366,0.7304,0.3981,0.1473,0.7868,0.5801
8,0.8000,0.0000,0.3018,0.3435,0.0000,0.6493,0.2539,0.0000,0.0000,0.1423,0.8789,0.9022,0.2785,1.0000,0.8862,0.0000,0.2417
9,0.9000,0.0000,0.0000,0.5144,0.0000,0.3602,0.4461,0.0000,0.0566,0.6393,0.1713,1.0000,0.0000,0.9404,0.8893,0.8648,0.9070
10,1.0000,0.0000,0.0000,0.4128,0.0000,0.0000,0.0755,0.5069,0.3253,0.9866,0.0000,1.0000,0.5269,0.5014,0.8126,0.9702,0.9692
11,1.1000,0.1885,0.0000,0.1954,0.1373,0.0000,0.0000,0.6234,0.5544,0.6234,0.7855,0.6288,0.7630,0.0000,0.0000,1.0000,0.8699
12,1.2000,0.0770,0.4745,0.0000,0.5327,0.0000,0.0000,0.5952,0.1234,0.2464,1.0000,0.0000,0.7947,0.4726,0.0000,0.7575,0.4788
13,1.3000,0.0000,0.6525,0.5656,0.0000,0.4791,0.4818,0.0000,0.0000,0.0930,0.9859,0.8931,0.3467,0.9905,1.0000,0.0000,0.0434
14,1.4000,0.0000,0.0000,0.5068,0.0000,0.3524,0.2981,0.2050,0.2046,0.6387,0.0000,1.0000,0.0000,0.9135,0.9675,0.5957,0.7479
15,1.5000,0.0723,0.0000,0.3004,0.0000,0.0000,0.0000,0.4856,0.3986,0.8399,0.0000,0.9099,0.3953,0.5456,0.7419,0.9234,1.0000
16,1.6000,0.1007,0.1133,0.0000,0.2280,0.0000,0.0000,0.4585,0.2456,0.7295,0.6159,0.7355,0.7590,0.0000,0.1658,0.9281,1.0000
17,1.7000,0.0000,0.6072,0.0297,0.3265,0.1754,0.0000,0.1665,0.0000,0.3938,1.0000,0.0000,0.9124,0.4886,0.0633,0.8084,0.6430
