window_idx,time_sec,global_efficiency,modularity_Q
0,0.000000,0.266441,0.001731
1,0.100000,0.251397,0.003660
2,0.200000,0.176229,0.009147
3,0.300000,0.175821,0.000000
4,0.400000,0.252670,0.006827
5,0.500000,0.217607,0.000000
6,0.600000,0.211510,0.004566
7,0.700000,0.162812,0.026354
8,0.800000,0.173873,0.003493
9,0.900000,0.225786,0.000000
10,1.000000,0.244504,0.003358
11,1.100000,0.236078,0.007832
12,1.200000,0.153477,0.007529
13,1.300000,0.174201,0.000000
14,1.400000,0.228681,0.009662
15,1.500000,0.252039,0.000000
16,1.600000,0.237276,0.015580
17,1.700000,0.150764,0.036281
18,1.800000,0.156291,0.000000
19,1.900000,0.207903,0.000000
20,2.000000,0.254002,0.001073
21,2.100000,0.254738,0.043151
22,2.200000,0.184506,0.000000
23,2.300000,0.199144,0.019302
24,2.400000,0.248199,0.014736
25,2.500000,0.252138,0.000000
26,2.600000,0.249042,0.000547
27,2.700000,0.167427,0.033067
28,2.800000,0.157759,0.000000
29,2.900000,0.203777,0.000000
30,3.000000,0.228444,0.000000
31,3.100000,0.243467,0.000000
32,3.200000,0.176182,0.018203
33,3.300000,0.156614,0.003510
34,3.400000,0.310780,0.041201
35,3.500000,0.219964,0.000000
36,3.600000,0.219965,0.001977
37,3.700000,0.138505,0.012034
38,3.800000,0.151810,0.046458
39,3.900000,0.230384,0.000000
40,4.000000,0.269926,0.012541
41,4.100000,0.247287,0.012707
42,4.200000,0.197484,0.037697
43,4.300000,0.169400,0.015079
44,4.400000,0.247311,0.012441
45,4.500000,0.252823,0.005542
46,4.600000,0.200269,0.018215
47,4.700000,0.134450,0.044731
48,4.800000,0.149499,0.017065
